Frase,Autor,Cat1,Cat2,Cat3,Cat4
"Si tú me amaras y yo te amase, ¡cómo nos amaríamos!.",Paul Géraldy (1885-1983) Poeta y dramaturgo francés.,SENTIMIENTOS,AMOR,CORAZÓN,
"El futuro es algo que cada cual alcanza a un ritmo de sesenta minutos por hora, haga lo que haga y sea quien sea.",Clive Staples Lewis (1898-1963) Escritor británico.,MISCELÁNEA,SILENCIO,,
"Soportaría gustosa una docena más de desencantos amorosos, si ello me ayudara a perder un par de kilos.",Colette (1873-1954) Novelista francesa.,DEFECTOS,IGNORANCIA,,
"Si das con una buena mujer serás feliz; y si no te volverás filósofo, lo que siempre es útil para el hombre.",Pitigrilli (1893-1975) Escritor italiano.,SOCIEDAD,DINERO,RIQUEZA,
"Purifica tu corazón antes de permitir que el amor se asiente en él, ya que la miel más dulce se agria en un vaso sucio.",Pitágoras de Samos (582 AC-497 AC) Filósofo y matemático griego.,SENTIMIENTOS,AMOR,,
Es mejor ser rey de tu silencio que esclavo de tus palabras.,William Shakespeare (1564-1616) Escritor británico.,SENTIMIENTOS,SUFRIMIENTO,,
En la amistad y en el amor se es más feliz con la ignorancia que con el saber.,William Shakespeare (1564-1616) Escritor británico.,TIEMPO,INFANCIA,,
"¿Quieres ser rico? Pues no te afanes en aumentar tus bienes, sino en disminuir tu codicia.",Epicuro de Samos (341 AC-270 AC) Filósofo griego.,SOCIEDAD,LIBERTAD,,
"En el amor no basta atacar, hay que tomar la plaza.",Ovidio (43 AC-17) Poeta latino.,SENTIMIENTOS,AMOR,CORAZÓN,
"El sufrimiento depende no tanto de lo que se padece cuanto de nuestra imaginación, que aumenta nuestros males.",Fénelon (1651-1715) Escritor y teólogo francés.,TIEMPO,JUVENTUD,,
"El niño que no juega no es niño, pero el hombre que no juega perdió para siempre al niño que vivía en él y que le hará mucha falta.",Pablo Neruda (1904-1973) Poeta chileno.,PENSAMIENTO Y RAZÓN,MENTIRAS,,
La soledad es muy hermosa... cuando se tiene alguien a quien decírselo.,Gustavo Adolfo Bécquer (1836-1870) Poeta español.,MISCELÁNEA,DESTINO,,
Proclamo en voz alta la libertad de pensamiento y muera el que no piense como yo.,Voltaire (1694-1778) Filósofo y escritor francés.,NATURALEZA,SER HUMANO,ELEGIR,
Los que de corazón se quieren sólo con el corazón se hablan.,Francisco de Quevedo (1580-1645) Escritor español.,CUALIDADES,INTELIGENCIA,,
"Los jóvenes hoy en día son unos tiranos. Contradicen a sus padres, devoran su comida, y le faltan al respeto a sus maestros.",Sócrates (470 AC-399 AC) Filósofo griego.,SOCIEDAD,EDUCACIÓN,APRENDER,
"El que dice una mentira no sabe qué tarea ha asumido, porque estará obligado a inventar veinte más para sostener la certeza de esta primera.",Alexander Pope (1688-1744) Poeta inglés.,MISCELÁNEA,CONVIVENCIA,,
El destino no reina sin la complicidad secreta del instinto y de la voluntad.,Giovanni Papini (1881-1956) Escritor italiano.,TIEMPO,JUVENTUD,,
"Pueden prohibirme seguir mi camino, pueden intentar forzar mi voluntad. Pero no pueden impedirme que, en el fondo de mi alma, elija a una o a otra.",Henrik Johan Ibsen (1828-1906) Dramaturgo noruego.,SENTIMIENTOS,AMOR,,
Inteligencia es lo que usas cuando no sabes qué hacer.,Jean Piaget (1896-1980) Filósofo y psicólogo suizo.,SENTIMIENTOS,ESPERANZA,,
"Con mis maestros he aprendido mucho; con mis colegas, más; con mis alumnos todavía más.",Proverbio hindú,MISCELÁNEA,ENGAÑO,,
"Hemos aprendido a volar como los pájaros, a nadar como los peces; pero no hemos aprendido el sencillo arte de vivir como hermanos.",Martin Luther King (1929-1968) Religioso estadounidense.,SENTIMIENTOS,AMOR,PASIÓN,
"De mis disparates de juventud lo que más pena me da no es el haberlos cometido, sino el no poder volver a cometerlos.",Pierre Benoit (1886-1962) Novelista francés.,SENTIMIENTOS,AMOR,,
La medida del amor es amar sin medida.,San Agustín (354-430) Obispo y filósofo.,NATURALEZA,SER HUMANO,,
Es mejor viajar lleno de esperanza que llegar.,Proverbio japonés,SENTIMIENTOS,AMOR,AMANTES,
La intención de no engañar nunca nos expone a ser engañados muchas veces.,François de La Rochefoucauld (1613-1680) Escritor francés.,PENSAMIENTO Y RAZÓN,VERDAD,,
"Todas las pasiones son buenas mientras uno es dueño de ellas, y todas son malas cuando nos esclavizan.",Jean Jacques Rousseau (1712-1778) Filósofo francés.,MISCELÁNEA,IMPOSIBLES,,
"Para Adán, el paraíso era donde estaba Eva.",Mark Twain (1835-1910) Escritor y periodista estadounidense.,SENTIMIENTOS,ESPERANZA,,
"Los seres humanos no nacen para siempre el día en que sus madres los alumbran, sino que la vida los obliga a parirse a sí mismos una y otra vez.",Gabriel García Márquez (1927-2014) Escritor colombiano.,MISCELÁNEA,ERRAR,,
Lo que hace que los amantes no se aburran nunca de estar juntos es que se pasan el tiempo hablando siempre de sí mismos.,François de La Rochefoucauld (1613-1680) Escritor francés.,CUALIDADES,DISCRECIÓN,,
"La peor verdad sólo cuesta un gran disgusto. La mejor mentira cuesta muchos disgustos pequeños y al final, un disgusto grande.",Jacinto Benavente (1866-1954) Dramaturgo español.,TIEMPO,TARDANZA,,
Algunas de las hazañas más grandes de la humanidad han sido obra de personas que no eran lo bastante listas para comprender que eran imposibles.,Doug Larson (1902-1981) Atleta británico.,SENTIMIENTOS,CÓLERA,,
"La desesperanza está fundada en lo que sabemos, que es nada, y la esperanza sobre lo que ignoramos, que es todo.",Maurice Maeterlinck (1862-1949) Escritor belga.,MISCELÁNEA,CONSEJO,,
"La vergüenza de confesar el primer error, hace cometer muchos otros.",Jean de La Fontaine (1621-1695) Escritor y poeta francés.,MISCELÁNEA,PREGUNTAS,,
El que revela el secreto de otros pasa por traidor; el que revela el propio secreto pasa por imbécil.,Voltaire (1694-1778) Filósofo y escritor francés.,MISCELÁNEA,ACCIÓN,,
Nunca es tarde para bien hacer; haz hoy lo que no hiciste ayer.,Refrán,MISCELÁNEA,PROBLEMAS,,
"Para la cólera y el para el amor, todo lo que se aplaza se pierde.",Pierre Augustin de Beaumarchais (1732-1799) Poeta dramático francés.,NATURALEZA,,,
Es necesario tener tanta discreción para dar consejos como docilidad para recibirlos.,François de La Rochefoucauld (1613-1680) Escritor francés.,MISCELÁNEA,TRIUNFAR,,
"Las preguntas no son nunca indiscretas. Las respuestas, a veces sí.",Oscar Wilde (1854-1900) Dramaturgo y novelista irlandés.,SOCIEDAD,LIBERTAD,,
"Si la inspiración no viene a mí salgo a su encuentro, a la mitad del camino.",Sigmund Freud (1856-1939) Médico austriaco.,DEFECTOS,MALDAD,,
Sólo hay dos palancas que muevan a los hombres: el miedo y el interés.,Napoleón I (1769-1821) Napoleón Bonaparte. Emperador francés.,SENTIMIENTOS,ARREPENTIMIENTO,,
"Para todo problema humano hay siempre una solución fácil, clara, plausible y equivocada.",Henry-Louis Mencken (1880-1956) Periodista y escritor estadounidense.,SOCIEDAD,EDUCACIÓN,,
Convertid un árbol en leña y podrá arder para vosotros; pero ya no producirá flores ni frutos.,Rabindranath Tagore (1861-1941) Filósofo y escritor indio.,SOCIEDAD,PAZ,,
"Puede ser un héroe lo mismo el que triunfa que el que sucumbe, pero jamás el que abandona el combate.","Thomas Carlyle (1795-1881) Historiador, pensador y ensayista inglés.",SOCIEDAD,MUJERES,,
La libertad es incompatible con el amor. Un amante es siempre un esclavo.,Germaine de Staël (1766-1817) Escritora e intelectual francesa.,SENTIMIENTOS,AMOR,,
"El mal no es lo que entra en la boca del hombre, sino lo que sale de ella.",Jesucristo (4 AC-30) Fundador del cristianismo.,SENTIMIENTOS,CELOS,,
Las lágrimas más amargas que se derramarán sobre nuestra tumba serán las de las palabras no dichas y las de las obras inacabadas.,Harriet Beecher Stowe (1811-1896) Filántropa y Escritora estadounidense.,PENSAMIENTO Y RAZÓN,SUEÑOS,,
"No podemos modelar a nuestros hijos según nuestros deseos, debemos estar con ellos y amarlos como Dios nos los ha entregado.",Goethe (1749-1832) Poeta y dramaturgo alemán.,NATURALEZA,SER HUMANO,HACER,
"No hay camino para la paz, la paz es el camino.",Mahatma Gandhi (1869-1948) Político y pensador indio.,CUALIDADES,SABIDURÍA,SABER,
Elige una mujer de la cual puedas decir: Yo hubiera podido buscarla más bella pero no mejor.,Pitágoras de Samos (582 AC-497 AC) Filósofo y matemático griego.,CUALIDADES,AUTENTICIDAD,,
"El amor, como ciego que es, impide a los amantes ver las divertidas tonterías que cometen.",William Shakespeare (1564-1616) Escritor británico.,NATURALEZA,SER HUMANO,PALABRAS,
"El celoso ama más, pero el que no lo es ama mejor.",Molière (1622-1673) Comediografo francés.,NATURALEZA,SER HUMANO,SEXO,
"Sólo es capaz de realizar los sueños el que, cuando llega la hora, sabe estar despierto.",León Daudí (1905-1985) Escritor español.,NATURALEZA,ANIMALES,PERROS,
Si ya sabes lo que tienes que hacer y no lo haces entonces estás peor que antes.,Confucio (551 AC-478 AC) Filósofo chino.,NATURALEZA,VIDA,,
"Quiero saberlo todo. Y siempre me encuentro como antes, triste como la vida y resignado como la sabiduría.",Giovanni Papini (1881-1956) Escritor italiano.,SENTIMIENTOS,AMISTAD,,
"Quien es auténtico, asume la responsabilidad por ser lo que es y se reconoce libre de ser lo que es.",Jean Paul Sartre (1905-1980) Filósofo y escritor francés.,SOCIEDAD,LIBERTAD DE EXPRESIÓN,,
"La palabra más soez y la carta más grosera son mejores, son más educadas que el silencio.",Friedrich Nietzsche (1844-1900) Filosofo alemán.,CUALIDADES,RESPONSABILIDAD,,
El sexo sin amor es una experiencia vacía. Pero como experiencia vacía es una de las mejores.,"Woody Allen (1935-?) Actor, director y escritor estadounidense.",MISCELÁNEA,DESCANSO,,
Amo a los perros porque nunca le hacen sentir a uno que los haya tratado mal.,Otto von Bismark (1815-1898) Político alemán.,SENTIMIENTOS,FELICIDAD,,
"Dormía..., dormía y soñaba que la vida no era más que alegría. Me desperté y vi que la vida no era más que servir... y el servir era alegría.",Rabindranath Tagore (1861-1941) Filósofo y escritor indio.,SENTIMIENTOS,AMOR,INFIDELIDAD,
Ofrecer amistad al que pide amor es como dar pan al que muere de sed.,Ovidio (43 AC-17) Poeta latino.,SENTIMIENTOS,ENVIDIA,,
La libertad de expresión es decir lo que la gente no quiere oír.,George Orwell (1903-1950) Escritor británico.,PENSAMIENTO Y RAZÓN,IDEAS,,
"El verdadero buscador crece y aprende, y descubre que siempre es el principal responsable de lo que sucede.",Jorge Bucay (1949-?) Escritor y psicoterapeuta argentino.,PENSAMIENTO Y RAZÓN,SUEÑOS,,
Nadie necesita más unas vacaciones que el que acaba de tenerlas.,Elbert Hubbard (1856-1915) Ensayista estadounidense.,SENTIMIENTOS,TRISTEZA,,
Lo mejor que podemos hacer en favor de quienes nos aman es seguir siendo felices.,Alain (1868-1951) Filósofo y ensayista francés.,SOCIEDAD,TRABAJO,,
El adulterio es justificable: el alma necesita pocas cosas; el cuerpo muchas.,George Herbert (1593-1633) Poeta religioso inglés.,SENTIMIENTOS,AMISTAD,AMIGOS,
La envidia va tan flaca y amarilla porque muerde y no come.,Francisco de Quevedo (1580-1645) Escritor español.,CUALIDADES,SABIDURÍA,,
Nada tan peligroso como una idea amplia en cerebros estrechos.,Hipólito Taine (1828-1893) Escritor francés.,SENTIMIENTOS,,,
Cuando nuestros sueños se han cumplido es cuando comprendemos la riqueza de nuestra imaginación y la pobreza de la realidad.,Ninon de Lenclos (1620-1705) Cortesana francesa.,TIEMPO,VEJEZ,,
Dime amigo: ¿La vida es triste o soy triste yo?,"Amado Nervo (1870-1919) Poeta, novelista y ensayista mexicano.",CUALIDADES,BONDAD,,
"Lo que con mucho trabajo se adquiere, más se ama.",Aristóteles (384 AC-322 AC) Filósofo griego.,CUALIDADES,VALOR,,
"El hombre más rico del mundo no es el que conserva el primer duro que ganó, sino el que conserva el primer amigo que tuvo.",Marta Mason,PENSAMIENTO Y RAZÓN,DECISIONES,,
Los sabios son los que buscan la sabiduría; los necios piensan ya haberla encontrado.,Napoleón I (1769-1821) Napoleón Bonaparte. Emperador francés.,SOCIEDAD,LIBERTAD,,
"Cuando se exagera un sentimiento, desaparece la capacidad de razonar.",Gustave Le Bon (1841-1931) Psicólogo francés.,ARTE,PINTURA,,
El secreto de una buena vejez no es otra cosa que un pacto honrado con la soledad.,Gabriel García Márquez (1927-2014) Escritor colombiano.,DEFECTOS,EGOÍSMO,,
"Nadie puede hacer el bien en un espacio de su vida, mientras hace daño en otro. La vida es un todo indivisible.",Mahatma Gandhi (1869-1948) Político y pensador indio.,MISCELÁNEA,ADVERSIDAD,,
"Intenta no volverte un hombre de éxito, sino volverte un hombre de valor.",Albert Einstein (1879-1955) Científico alemán nacionalizado estadounidense.,PENSAMIENTO Y RAZÓN,RAZÓN,,
"Mala cosa es tener un lobo cogido por las orejas, pues no sabes cómo soltarlo ni cómo continuar aguantándolo.",Terencio (195 AC-159 AC) Autor cómico latino.,TIEMPO,INFANCIA,,
"No pido riquezas, ni esperanzas, ni amor, ni un amigo que me comprenda; todo lo que pido es el cielo sobre mí y un camino a mis pies.",Robert Louis Stevenson (1850-1894) Escritor británico.,SENTIMIENTOS,FELICIDAD,,
A veces hay que estropear un poquito el cuadro para poder terminarlo.,Eugène Delacroix (1798-1863) Pintor francés.,SENTIMIENTOS,CÓLERA,,
Siempre se repite la misma historia: cada individuo no piensa más que en sí mismo.,Sófocles (495AC-406AC) Poeta trágico griego.,NATURALEZA,SER HUMANO,HACER,
"Los golpes de la adversidad son muy amargos, pero nunca son estériles.",Ernest Renan (1823-1892) Escritor francés.,NATURALEZA,SER HUMANO,ELEGIR,
La razón no me ha enseñado nada. Todo lo que yo sé me ha sido dado por el corazón.,Leon Tolstoi (1828-1910) Escritor ruso.,MISCELÁNEA,DESGRACIA,,
"La infancia tiene sus propias maneras de ver, pensar y sentir; nada hay más insensato que pretender sustituirlas por las nuestras.",Jean Jacques Rousseau (1712-1778) Filósofo francés.,PENSAMIENTO Y RAZÓN,MENTIRAS,,
La felicidad es darse cuenta que nada es demasiado importante.,"Antonio Gala (1930-?) Dramaturgo, poeta y novelista español.",SENTIMIENTOS,AMOR,CORAZÓN,
La cólera es una ráfaga de viento que apaga la lámpara de la inteligencia.,Robert Green Ingersoll (1833-1899) Politico y orador norteamericano.,SOCIEDAD,MUJERES,,
"Casi todo lo que realice será insignificante, pero es muy importante que lo haga.",Mahatma Gandhi (1869-1948) Político y pensador indio.,MISCELÁNEA,ACCIÓN,,
"Cuando debemos hacer una elección y no la hacemos, esto ya es una elección.",William James (1842-1910) Psicólogo y filósofo estadounidense.,CUALIDADES,OPTIMISMO,,
"Conocer las cosas que lo hacen a uno desgraciado, ya es una especie de felicidad.",François de La Rochefoucauld (1613-1680) Escritor francés.,PENSAMIENTO Y RAZÓN,DUDA,,
"Con una mentira suele irse muy lejos, pero sin esperanzas de volver.",Proverbio judío,DEFECTOS,IGNORANCIA,,
El corazón tiene razones que la razón ignora.,"Blaise Pascal (1623-1662) Científico, filósofo y escritor francés.",SENTIMIENTOS,AMISTAD,,
No se es amigo de una mujer cuando se puede ser su amante.,Honoré de Balzac (1799-1850) Escritor francés.,SENTIMIENTOS,MIEDO,,
Una de las ventajas de las buenas acciones es la de elevar el alma y disponerla a hacer otras mejores.,Jean Jacques Rousseau (1712-1778) Filósofo francés.,SENTIMIENTOS,AMOR,INFIDELIDAD,
El optimista cree en los demás y el pesimista sólo cree en sí mismo.,Gilbert Keith Chesterton (1874-1936) Escritor británico.,CUALIDADES,SABIDURÍA,,
"Si comienza uno con certezas, terminará con dudas; mas si se acepta empezar con dudas, llegará a terminar con certezas.",Sir Francis Bacon (1561-1626) Filósofo y estadista británico.,SENTIMIENTOS,CONCORDIA,,
El primer paso de la ignorancia es presumir de saber.,Baltasar Gracián (1601-1658) Escritor español.,PENSAMIENTO Y RAZÓN,DESEO,,
"La amistad, si se alimenta solo de gratitud, equivale a una fotografía que con el tiempo se borra.",Isabel de Rumania (1843-1916) Escritora rumana.,SENTIMIENTOS,FELICIDAD,,
De lo que tengo miedo es de tu miedo.,William Shakespeare (1564-1616) Escritor británico.,MISCELÁNEA,JERARQUÍA,,
"La diferencia de la infidelidad en los dos sexos es tan real que una mujer apasionada puede perdonar una infidelidad, cosa imposible para un hombre.",Stendhal (1783-1842) Escritor francés.,NATURALEZA,SER HUMANO,SEXO,
Saber y saberlo demostrar es valer dos veces.,Baltasar Gracián (1601-1658) Escritor español.,SOCIEDAD,DINERO,,
"La concordia hace crecer las pequeñas cosas, la discordia arruina las grandes.",Salustio (83 AC-35 AC) Caius Sallustius Crispus. Historiador latino.,DEFECTOS,ESTUPIDEZ,,
"No pretendas que las cosas ocurran como tu quieres. Desea, más bien, que se produzcan tal como se producen, y serás feliz.",Epicteto de Frigia (55-135) Filósofo grecolatino.,SENTIMIENTOS,QUERER,,
"Vivir para los demás no es solamente una ley de deber, sino también una ley de felicidad.",Auguste Comte (1798-1857) Filósofo francés.,NATURALEZA,,,
Un hombre debe vivir cerca de sus superiores como cerca del fuego: ni tan cerca que se queme ni tan lejos que se hiele.,Diógenes de Sínope (412 AC-323 AC) Filósofo griego.,TIEMPO,FUTURO,,
Sólo existen dos cosas importantes en la vida. La primera es el sexo y la segunda no me acuerdo.,"Woody Allen (1935-?) Actor, director y escritor estadounidense.",CUALIDADES,VALOR,,
"No estimes el dinero en más ni en menos de lo que vale, porque es un buen siervo y un mal amo.",Alejandro Dumas (hijo) (1824-1895) Escritor francés.,NATURALEZA,SER HUMANO,CALLAR,
Nada en el mundo es más peligroso que la ignorancia sincera y la estupidez concienzuda.,Martin Luther King (1929-1968) Religioso estadounidense.,CUALIDADES,INDEPENDENCIA,,
"Es preciso saber lo que se quiere; cuando se quiere, hay que tener el valor de decirlo, y cuando se dice, es menester tener el coraje de realizarlo.",Georges Clemenceau (1841-1929) Político y periodista francés.,CUALIDADES,VOLUNTAD,,
Vivimos en una época peligrosa. El ser humano ha aprendido a dominar la naturaleza mucho antes de haber aprendido a dominarse a sí mismo.,"Albert Schweitzer (1875-1965) Filósofo, médico y escritor alemán.",NATURALEZA,SER HUMANO,HACER,
Sólo cerrando las puertas detrás de uno se abren ventanas hacia el porvenir.,Françoise Sagan (1935-2004) Escritora francesa.,NATURALEZA,MUERTE,,
La desvalorización del mundo humano crece en razón directa de la valorización del mundo de las cosas.,Karl Marx (1818-1883) Filósofo y economista alemán.,TIEMPO,PRESENTE,,
"La mitad del mundo tiene algo que decir, pero no puede; la otra mitad no tiene nada que decir, pero no calla.",Robert Frost (1874-1963) Poeta estadounidense.,SENTIMIENTOS,ENVIDIA,,
"Ser independiente es cosa de una pequeña minoría, es el privilegio de los fuertes.",Friedrich Nietzsche (1844-1900) Filosofo alemán.,CUALIDADES,INTELIGENCIA,,
Si tuviésemos suficiente voluntad casi siempre tendríamos medios suficientes.,François de La Rochefoucauld (1613-1680) Escritor francés.,NATURALEZA,VIDA,,
"Lo que es digno de hacerse, es digno de que se haga bien.",Conde de Chesterfield (1694-1773) Político y escritor inglés.,CUALIDADES,SABIDURÍA,SABIO,
"La muerte es algo que no debemos temer porque, mientras somos, la muerte no es y cuando la muerte es, nosotros no somos.",Antonio Machado (1875-1939) Poeta y prosista español.,DEFECTOS,MALDAD,,
A veces estamos demasiado dispuestos a creer que el presente es el único estado posible de las cosas.,Marcel Proust (1871-1922) Escritor francés.,SENTIMIENTOS,AMOR,AMOR PROPIO,
Castiga a los que tienen envidia haciéndoles bien.,Proverbio árabe,MISCELÁNEA,AZAR,,
"La inteligencia consiste no sólo en el conocimiento, sino también en la destreza de aplicar los conocimientos en la práctica.",Aristóteles (384 AC-322 AC) Filósofo griego.,CUALIDADES,AUTOESTIMA,,
"Entre la vida y yo hay un cristal tenue. Por más claramente que vea y comprenda la vida, no puedo tocarla.",Fernando Pessoa (1888-1935) Poeta portugués.,MISCELÁNEA,ÉXITO,,
"El sabio puede cambiar de opinión. El necio, nunca.",Immanuel Kant (1724-1804) Filosofo alemán.,SENTIMIENTOS,ENVIDIA,,
"Cuando mejor es uno, tanto más difícilmente llega a sospechar de la maldad de los otros.","Cicerón (106 AC-43 AC) Escritor, orador y político romano.",NATURALEZA,SER HUMANO,,
"El amor propio, al igual que el mecanismo de reproducción del genero humano, es necesario, nos causa placer y debemos ocultarlo.",Voltaire (1694-1778) Filósofo y escritor francés.,MISCELÁNEA,ENGAÑO,,
"Azar es una palabra vacía de sentido, nada puede existir sin causa.",Voltaire (1694-1778) Filósofo y escritor francés.,CUALIDADES,CREER EN SÍ MISMO,,
"Sólo si me siento valioso por ser como soy, puedo aceptarme, puedo ser auténtico, puedo ser verdadero.",Jorge Bucay (1949-?) Escritor y psicoterapeuta argentino.,CUALIDADES,ATREVIMIENTO,,
"El éxito no se logra sólo con cualidades especiales. Es sobre todo un trabajo de constancia, de método y de organización.",J.P. Sergent,SOCIEDAD,LÍDERES,,
¿Qué es un envidioso? Un ingrato que detesta la luz que le alumbra y le calienta.,Victor Hugo (1802-1885) Novelista francés.,CUALIDADES,PERFECCIÓN,,
"Todo hombre paga su grandeza con muchas pequeñeces, su victoria con muchas derrotas, su riqueza con múltiples quiebras.",Giovanni Papini (1881-1956) Escritor italiano.,CUALIDADES,GENIO,,
Somos fácilmente engañados por aquellos a quienes amamos.,Molière (1622-1673) Comediografo francés.,SOCIEDAD,PAZ,,
"Si crees totalmente en ti mismo, no habrá nada que esté fuera de tus posibilidades.",Wayne W. Dyer (1940-2015) Escritor estadounidense.,SENTIMIENTOS,VERGÜENZA,,
"No nos atrevemos a muchas cosas porque son difíciles, pero son difíciles porque no nos atrevemos a hacerlas.",Séneca (2 AC-65) Filósofo latino.,SENTIMIENTOS,ESPERANZA,,
La única manera de ser seguido es correr más deprisa que los demás.,Francis Picabia (1879-1953) Pintor francés.,SENTIMIENTOS,ESPERANZA,,
"Hay quienes se consideran perfectos, pero es sólo porque exigen menos de sí mismos.","Hermann Hesse (1877-1962) Escritor suizo, de origen alemán.",MISCELÁNEA,INTERESES,,
"El destino del genio es ser un incomprendido, pero no todo incomprendido es un genio.",Emerson (1803-1882) Poeta y pensador estadounidense.,CUALIDADES,UNIDAD,,
Cuando me preguntaron sobre algún arma capaz de contrarrestar el poder de la bomba atómica yo sugerí la mejor de todas: La paz.,Albert Einstein (1879-1955) Científico alemán nacionalizado estadounidense.,SENTIMIENTOS,SOLEDAD,,
"Cuando un hombre estúpido hace algo que le avergüenza, siempre dice que cumple con su deber.",George Bernard Shaw (1856-1950) Escritor irlandés.,SENTIMIENTOS,AMOR,BESOS,
"Al deseo, acompañado de la idea de satisfacerse, se le denomina esperanza; despojado de tal idea, desesperación.",Thomas Hobbes (1588-1679) Filósofo y tratadista político inglés.,CUALIDADES,SENCILLEZ,,
"La esperanza y el temor son inseparables y no hay temor sin esperanza, ni esperanza sin temor.",François de La Rochefoucauld (1613-1680) Escritor francés.,MISCELÁNEA,INSINUACIÓN,,
El secreto del hombre interesante es que él mismo se interesa por todos.,Charles Péguy (1873-1914) Escritor francés.,CUALIDADES,PACIENCIA,,
Para que nada nos separe que nada nos una.,Pablo Neruda (1904-1973) Poeta chileno.,SENTIMIENTOS,AMOR,,
"¿Por qué, en general, se rehuye la soledad? Porque son muy pocos los que encuentran compañía consigo mismos.",Carlo Dossi (1849-1910) Escritor italiano.,NATURALEZA,HUMANIDAD,,
"A dónde irán los besos que guardamos, que no damos.",Víctor Manuel (1947-?) Cantautor español.,DEFECTOS,MEDIOCRIDAD,,
Hay situaciones en la vida en que la verdad y la sencillez forman la mejor pareja.,Jean de la Bruyere (1645-1696) Escritor francés.,CUALIDADES,DISCRECIÓN,,
"A veces, unos puntos suspensivos a tiempo resultan más profundos que un verso archipensado.",Gabriel Celaya (1911-1991) Poeta español.,SENTIMIENTOS,FE,,
"Cuando fuiste martillo no tuviste clemencia, ahora que eres yunque, ten paciencia.",Refrán,SENTIMIENTOS,AMOR,,
Uno debería estar siempre enamorado. Por eso jamás deberíamos casarnos.,Oscar Wilde (1854-1900) Dramaturgo y novelista irlandés.,SENTIMIENTOS,FELICIDAD,,
"La humanidad se cansa pronto de todo, sobre todo de lo que más disfruta.",George Bernard Shaw (1856-1950) Escritor irlandés.,SENTIMIENTOS,AMOR,AMAR,
Los espíritus mediocres suelen condenar todo aquello que está fuera de su alcance.,François de La Rochefoucauld (1613-1680) Escritor francés.,DEFECTOS,CINISMO,,
Los charlatanes son los hombres más discretos: hablan y hablan y no dicen nada.,Alfred d' Houdetot (1799-1869) Escritor francés.,MISCELÁNEA,DESGRACIA,,
Tener fe significa no querer saber la verdad.,Friedrich Nietzsche (1844-1900) Filosofo alemán.,NATURALEZA,SER HUMANO,HABLAR,
"El verdadero amor no se conoce por lo que exige, sino por lo que ofrece.",Jacinto Benavente (1866-1954) Dramaturgo español.,MISCELÁNEA,INJURIA,,
¿Qué es la felicidad sino el desarrollo de nuestras facultades?,Germaine de Staël (1766-1817) Escritora e intelectual francesa.,SOCIEDAD,FAMILIA,PADRES,
"Ama a quien no te ama, responde a quien no te llama, andarás carrera vana.",Refrán,TIEMPO,,,
Cínico: un hombre que sabe el precio de todo y el valor de nada.,Oscar Wilde (1854-1900) Dramaturgo y novelista irlandés.,PENSAMIENTO Y RAZÓN,DUDA,,
"Si no quieres ser desgraciado trata a las catástrofes como a molestias, pero de ninguna manera a las molestias como a catástrofes.",André Maurois (1885-1967) Novelista y ensayista francés.,PENSAMIENTO Y RAZÓN,MENTIRAS,,
Uno es dueño de lo que calla y esclavo de lo que habla.,Sigmund Freud (1856-1939) Médico austriaco.,MISCELÁNEA,AZAR,,
Dejemos a los envidiosos la tarea de proferir injurias y a los necios la de contestarlas.,Louis Emmanuel Dupaty (1775-1851) Dramaturgo francés.,SENTIMIENTOS,AMISTAD,AMIGOS,
"Por severo que sea un padre juzgando a su hijo, nunca es tan severo como un hijo juzgando a su padre.",Enrique Jardiel Poncela (1901-1952) Escritor español.,SOCIEDAD,MUJERES,,
El amor hace pasar el tiempo; el tiempo hace pasar el amor,Proverbio italiano,MISCELÁNEA,MEJORAR,,
Es menos malo agitarse en la duda que descansar en el error.,Alessandro Manzoni (1785-1873) Poeta y escritor italiano.,SOCIEDAD,RELIGIÓN,DIOS,
"Una mentira es como una bola de nieve; cuanto más rueda, más grande se vuelve.",Martin Lutero (1483-1546) Reformador alemán.,SENTIMIENTOS,AMOR,PASIÓN,
"El hombre tiene mil planes para sí mismo. El azar, sólo uno para cada uno.",Mencio (372 a.C.-289 a.C.) Filósofo chino confuciano.,DEFECTOS,VIOLENCIA,,
"Si nuestros amigos nos hacen favores, pensamos que nos los deben a título de amigos, pero no pensamos que no nos deben su amistad.",Marqués de Vauvenargues (1715-1747) Moralista francés.,SOCIEDAD,LIBERTAD,,
Las mujeres con pasado y los hombres con futuro son las personas más interesantes.,Chavela Vargas (1919-?) Cantante mexicana.,SOCIEDAD,IDEALES,,
De nada sirve al hombre lamentarse de los tiempos en que vive. Lo único bueno que puede hacer es intentar mejorarlos.,"Thomas Carlyle (1795-1881) Historiador, pensador y ensayista inglés.",SENTIMIENTOS,FELICIDAD,,
El hombre encuentra a Dios detrás de cada puerta que la ciencia logra abrir.,Albert Einstein (1879-1955) Científico alemán nacionalizado estadounidense.,SENTIMIENTOS,CONFIANZA,,
Las grandes pasiones son enfermedades incurables. Lo que podría curarlas las haría verdaderamente peligrosas.,Goethe (1749-1832) Poeta y dramaturgo alemán.,CUALIDADES,OPTIMISMO,,
Ojo por ojo y todo el mundo acabará ciego.,Mahatma Gandhi (1869-1948) Político y pensador indio.,MISCELÁNEA,SILENCIO,,
La libertad no tiene su valor en sí misma: hay que apreciarla por las cosas que con ella se consiguen.,Ramiro de Maeztu (1875-1936) Escritor español.,NATURALEZA,SER HUMANO,HABLAR,
