Autor
Refrán
"Oscar Wilde (1854-1900) Dramaturgo y novelista irlandés."
"Aristóteles (384 AC-322 AC) Filósofo griego."
"Séneca (2 AC-65) Filósofo latino."
"William Shakespeare (1564-1616) Escritor británico."
"Cicerón (106 AC-43 AC) Escritor, orador y político romano."
"Goethe (1749-1832) Poeta y dramaturgo alemán."
"Voltaire (1694-1778) Filósofo y escritor francés."
"François de La Rochefoucauld (1613-1680) Escritor francés."
"Victor Hugo (1802-1885) Novelista francés."
"Gilbert Keith Chesterton (1874-1936) Escritor británico."
Anónimo
"Miguel de Cervantes (1547-1616) Escritor español."
"Benjamin Franklin (1706-1790) Estadista y científico estadounidense."
"Albert Einstein (1879-1955) Científico alemán nacionalizado estadounidense."
"Friedrich Nietzsche (1844-1900) Filosofo alemán."
"Confucio (551 AC-478 AC) Filósofo chino."
"Mahatma Gandhi (1869-1948) Político y pensador indio."
"Francisco de Quevedo (1580-1645) Escritor español."
"George Bernard Shaw (1856-1950) Escritor irlandés."
"Emerson (1803-1882) Poeta y pensador estadounidense."
"San Agustín (354-430) Obispo y filósofo."
"Jorge Luis Borges (1899-1986) Escritor argentino."
"Michel de Montaigne (1533-1592) Escritor y filósofo francés."
"Sir Francis Bacon (1561-1626) Filósofo y estadista británico."
"Thomas Carlyle (1795-1881) Historiador, pensador y ensayista inglés."
"Platón (427 AC-347 AC) Filósofo griego."
"Blaise Pascal (1623-1662) Científico, filósofo y escritor francés."
"Napoleón I (1769-1821) Napoleón Bonaparte. Emperador francés."
"Honoré de Balzac (1799-1850) Escritor francés."
"Jean Jacques Rousseau (1712-1778) Filósofo francés."
"Baltasar Gracián (1601-1658) Escritor español."
"Rabindranath Tagore (1861-1941) Filósofo y escritor indio."
"Jacinto Benavente (1866-1954) Dramaturgo español."
"José Ortega y Gasset (1883-1955) Filósofo y ensayista español."
"André Maurois (1885-1967) Novelista y ensayista francés."
"Anatole France (1844-1924) Escritor francés."
"Mark Twain (1835-1910) Escritor y periodista estadounidense."
"Miguel de Unamuno (1864-1936) Filósofo y escritor español."
"George Sand (1804-1876) Escritora francesa."
"Arturo Graf (1848-1913) Escritor y poeta italiano."
"Winston Churchill (1874-1965) Político británico."
"Groucho Marx (1890-1977) Actor estadounidense."
