Frase,Autor,Cat1,Cat2,Cat3,Cat4,,,
El que teme sufrir ya sufre el temor.,Proverbio chino,SENTIMIENTOS,AMISTAD,NULL,NULL,,,
Antes de casarme tenía seis teorías sobre el modo de educar a los niños. Ahora tengo seis hijos y ningún teoría.,John Wilmot (1647-1680) Segundo conde de Rochester. Poeta inglés.,SOCIEDAD,MATRIMONIO,NULL,NULL,,,
"Merece salir engañado el que al hacer un beneficio, cuente con la recompensa.",Séneca (2 AC-65) Filósofo latino.,DEFECTOS,OCIOSIDAD,NULL,NULL,,,
El amor es el regocijo por la sola existencia del otro.,Jorge Bucay (1949-?) Escritor y psicoterapeuta argentino.,CUALIDADES,CARÁCTER,NULL,NULL,,,
Es muy difícil hacer bella la felicidad. Una felicidad que sólo es ausencia de desdicha es cosa fea.,"Jean Cocteau (1889-1963) Escritor, pintor, coreógrafo.",SOCIEDAD,NULL,NULL,NULL,,,
"Ser sincero no es decir todo lo que se piensa, sino no decir nunca lo contrario de lo que se piensa.",André Maurois (1885-1967) Novelista y ensayista francés.,NATURALEZA,VIDA,NULL,NULL,,,
"Quien se enfada por las críticas, reconoce que las tenía merecidas.",Tácito (55-115) Historiador romano.,PENSAMIENTO Y RAZÓN,DESEO,NULL,NULL,,,
Prefiero morir de pie que vivir siempre arrodillado.,Emiliano Zapata (1879-1919) Revolucionario mexicano.,NATURALEZA,SER HUMANO,PERDONAR,NULL,,,
Nunca es largo el camino que conduce a la casa de un amigo.,Juvenal (67-127) Poeta satírico romano.,CUALIDADES,BELLEZA,NULL,NULL,,,
Guarda a tu amigo bajo la llave de tu propia vida.,William Shakespeare (1564-1616) Escritor británico.,MISCELÁNEA,DOCTRINAS,NULL,NULL,,,
"Es cierto que no te quiero tanto como cuando éramos novios, pero es que a mi nunca me han gustado las mujeres casadas",Proverbio americano,TIEMPO,NULL,NULL,NULL,,,
"El ocio representará el problema más acuciante, pues es muy dudoso que el hombre se aguante a sí mismo.",Friedrich Dürrenmatt (1921-1990) Escritor suizo.,SOCIEDAD,GUERRA,NULL,NULL,,,
Es más fácil variar el curso de un río que el carácter de un hombre.,Proverbio chino,SENTIMIENTOS,AMOR,AMAR,NULL,,,
A una colectividad se le engaña siempre mejor que a un hombre.,Pío Baroja (1872-1956) Escritor español.,MISCELÁNEA,LÁGRIMAS,NULL,NULL,,,
"Temer al amor es temer a la vida, y los que temen a la vida ya están medio muertos.","Bertrand Russell (1872-1970) Filósofo, matemático y escritor británico..",MISCELÁNEA,BROMEAR,NULL,NULL,,,
Teméis todas las cosas como mortales y todas las deseáis como inmortales.,Séneca (2 AC-65) Filósofo latino.,PENSAMIENTO Y RAZÓN,VERDAD,NULL,NULL,,,
Solamente aquellos espíritus verdaderamente valerosos saben la manera de perdonar. Un ser vil no perdona nunca porque no está en su naturaleza.,Laurence Sterne (1713-1768) Novelista y humorista inglés.,PENSAMIENTO Y RAZÓN,MENTE,NULL,NULL,,,
"Quitad de los corazones el amor por lo bello, y habréis quitado todo el encanto a la vida.",Jean Jacques Rousseau (1712-1778) Filósofo francés.,MISCELÁNEA,MUNDO,NULL,NULL,,,
Quienes dicen que el arte no debe propagar doctrinas suelen referirse a doctrinas contrarias a las suyas.,Jorge Luis Borges (1899-1986) Escritor argentino.,SENTIMIENTOS,MIEDO,NULL,NULL,,,
"Por muy lentamente que os parezca que pasan las horas, os parecerán cortas si pensáis que nunca más han de volverá pasar.","Aldous Huxley (1894-1963) Novelista, ensayista y poeta inglés.",MISCELÁNEA,ÉXITO,NULL,NULL,,,
Para la mayoría de los hombres la guerra es el fin de la soledad. Para mi es la soledad infinita.,Albert Camus (1913-1960) Escritor francés.,SENTIMIENTOS,AMOR,NULL,NULL,,,
Nunca se tiene la libertad de amar o de dejar de amar.,François de La Rochefoucauld (1613-1680) Escritor francés.,SENTIMIENTOS,FELICIDAD,FELIZ,NULL,,,
Las lágrimas son la sangre del alma.,San Agustín (354-430) Obispo y filósofo.,CIENCIAS,CIENTÍFICOS,NULL,NULL,,,
Las bromas son como la sal: se deben usar con gran precaución.,Juvenal (67-127) Poeta satírico romano.,CIENCIAS,NULL,NULL,NULL,,,
"La verdad es hija del tiempo, no de la autoridad.",Sir Francis Bacon (1561-1626) Filósofo y estadista británico.,SENTIMIENTOS,TRISTEZA,NULL,NULL,,,
"La mente humana es incapaz de inventar nuevos valores, ni siquiera un nuevo color primario.",Clive Staples Lewis (1898-1963) Escritor británico.,CUALIDADES,VIRTUD,NULL,NULL,,,
La historia del mundo es la suma de aquello que hubiera sido evitable.,"Bertrand Russell (1872-1970) Filósofo, matemático y escritor británico..",PENSAMIENTO Y RAZÓN,RECUERDOS,NULL,NULL,,,
"El miedo es natural en el prudente, y el saberlo vencer es ser valiente.",Alonso de Ercilla y Zúñiga (1533-1594) Escritor español.,SOCIEDAD,FAMILIA,HIJOS,NULL,,,
El éxito es fácil de obtener. Lo difícil es merecerlo.,Albert Camus (1913-1960) Escritor francés.,MISCELÁNEA,MALAS NOTICIAS,NULL,NULL,,,
El amor es el deseo de obtener la amistad de una persona que nos atrae por su belleza.,"Cicerón (106 AC-43 AC) Escritor, orador y político romano.",DEFECTOS,HIPOCRESÍA,NULL,NULL,,,
"¿Qué hace falta para ser feliz? Un poco de cielo azul encima de nuestras cabezas, un vientecillo tibio, la paz del espíritu.",André Maurois (1885-1967) Novelista y ensayista francés.,TIEMPO,PRIMAVERA,NULL,NULL,,,
"Para las personas creyentes, Dios esta al principio. Para los científicos está el final de todas sus reflexiones.",Max Planck (1858-1947) Físico alemán.,SOCIEDAD,LÍDERES,NULL,NULL,,,
"En realidad, prefiero la ciencia a la religión. Si me dan a escoger entre Dios y el aire acondicionado, me quedo con el aire.","Woody Allen (1935-?) Actor, director y escritor estadounidense.",MISCELÁNEA,AZAR,NULL,NULL,,,
"¡Siendo de dos una tristeza, ya no es tristeza, es alegría!",Francisco Villaespesa (1877-1936) Escritor modernista español.,SENTIMIENTOS,GRATITUD,NULL,NULL,,,
"Nuestro gran error es intentar obtener de cada uno en particular las virtudes que no tiene, y desdeñar el cultivo de las que posee.",Marguerite Yourcenar (1903-1987) Escritora francesa.,TIEMPO,JUVENTUD,NULL,NULL,,,
La vida sería imposible si todo se recordase. El secreto está en saber elegir lo que debe olvidarse.,Roger Martin du Gard (1881-1958) Escritor francés.,SOCIEDAD,FAMILIA,PADRES,NULL,,,
Amar a la madre de sus hijos es lo mejor que un padre puede hacer por sus hijos.,Theodore Hesburgh (1917-?) Clérigo estadounidense.,TIEMPO,VEJEZ,NULL,NULL,,,
Anunciad con cien lenguas el mensaje agradable; pero dejad que las malas noticias se revelen por sí solas.,William Shakespeare (1564-1616) Escritor británico.,NATURALEZA,SER HUMANO,HACER,NULL,,,
Más vale un minuto de vida franca y sincera que cien años de hipocresía.,"Ángel Ganivet (1865-1898) Escritor, ensayista y narrador español.",SENTIMIENTOS,INFERIORIDAD,NULL,NULL,,,
"Podrán cortar todas las flores, pero no podrán detener la primavera.",Pablo Neruda (1904-1973) Poeta chileno.,SENTIMIENTOS,AMOR,CORAZÓN,NULL,,,
"Comienzo con la premisa de que la función del líder es producir más líderes, no más seguidores.",Ralph Nader (1934-?) Activista y abogado estadounidense.,PENSAMIENTO Y RAZÓN,SUEÑOS,NULL,NULL,,,
El momento elegido por el azar vale siempre más que el momento elegido por nosotros mismos.,Proverbio chino,MISCELÁNEA,IMPOSIBLES,NULL,NULL,,,
"Cuando bebas agua, recuerda la fuente.",Proverbio chino,CUALIDADES,SABIDURÍA,NULL,NULL,,,
"Cuando era más joven podía recordar todo, hubiera sucedido o no.",Mark Twain (1835-1910) Escritor y periodista estadounidense.,SENTIMIENTOS,ALEGRÍA,NULL,NULL,,,
La virtud de los padres es una gran dote.,Horacio (65 AC-8 AC) Poeta latino.,SOCIEDAD,MUJERES,NULL,NULL,,,
Nada nos hace envejecer con más rapidez que el pensar incesantemente en que nos hacemos viejos.,Georg Christoph Lichtenberg (1742-1799) Profesor de física y científico alemán.,NATURALEZA,SER HUMANO,PALABRAS,NULL,,,
"Vale más hacer y arrepentirse, que no hacer y arrepentirse.","Nicolás Maquiavelo (1469-1527) Historiador, político y teórico italiano.",SENTIMIENTOS,AMOR,AMANTES,NULL,,,
Nadie puede hacernos sentir inferiores sin nuestro consentimiento.,"Eleanor Roosevelt (1884-1962) Defensora de los derechos sociales, diplomática y",ARTE,MÚSICA,NULL,NULL,,,
Nada pesa tanto como el corazón cuando está cansado.,"Juan Zorrilla de San Martín (1855-1931) Periodista, ensayista y poeta uruguayo.",SOCIEDAD,PODER,NULL,NULL,,,
Me gustan más los sueños del futuro que la historia del pasado.,Thomas Jefferson (1743-1826) Político Estadounidense.,SENTIMIENTOS,MIEDO,TEMOR,NULL,,,
Lo imposible es el fantasma de los tímidos y el refugio de los cobardes.,Napoleón I (1769-1821) Napoleón Bonaparte. Emperador francés.,SENTIMIENTOS,AMOR,NULL,NULL,,,
La sabiduría nos llega cuando ya no nos sirve de nada.,Gabriel García Márquez (1927-2014) Escritor colombiano.,SENTIMIENTOS,FELICIDAD,NULL,NULL,,,
"La juventud es el paraíso de la vida, la alegría es la juventud eterna del espíritu.",Ippolito Nievo (1831-1861) Escritor italiano.,NATURALEZA,SER HUMANO,SEXO,NULL,,,
La intuición de una mujer es más precisa que la certeza de un hombre.,Rudyard Kipling (1865-1936) Novelista británico.,SENTIMIENTOS,ENEMISTAD,NULL,NULL,,,
"Es posible conseguir algo luego de tres horas de pelea, pero es seguro que se podrá conseguir con apenas tres palabras impregnadas de afecto.",Confucio (551 AC-478 AC) Filósofo chino.,MISCELÁNEA,MORIR,NULL,NULL,,,
"En los inicios de un amor los amantes hablan del futuro, en sus postrimerías, del pasado.",André Maurois (1885-1967) Novelista y ensayista francés.,SENTIMIENTOS,AMOR,AMANTES,NULL,,,
En la música todos los sentimientos vuelven a su estado puro y el mundo no es sino música hecha realidad.,Arthur Schopenhauer (1788-1860) Filósofo alemán.,CUALIDADES,BONDAD,NULL,NULL,,,
"El poder es como un explosivo: o se maneja con cuidado, o estalla.",Enrique Tierno Galván (1918-1986) Político e intelectual español.,SOCIEDAD,MEDIOS,TELEVISIÓN,NULL,,,
"Cualquier cosa que el hombre gane debe pagarla cara, aunque no sea más que con el miedo de perderla.",Friedrich Hebbel (1813-1863) Poeta y dramaturgo alemán.,NATURALEZA,ANIMALES,NULL,NULL,,,
Amor se llama el juego en el que un par de ciegos juegan a hacerse daño.,Joaquín Sabina (1949-?) Cantautor y poeta español.,SOCIEDAD,MULTITUD,NULL,NULL,,,
"La felicidad es un artículo maravilloso: cuanto más se da, más le queda a uno.","Blaise Pascal (1623-1662) Científico, filósofo y escritor francés.",MISCELÁNEA,DESTINO,NULL,NULL,,,
El sexo es lo más divertido que se puede hacer sin reír.,"Woody Allen (1935-?) Actor, director y escritor estadounidense.",DEFECTOS,SOBERBIA,NULL,NULL,,,
Hay que tener cuidado al elegir a los enemigos porque uno termina pareciéndose a ellos.,Jorge Luis Borges (1899-1986) Escritor argentino.,SENTIMIENTOS,ALEGRÍA,NULL,NULL,,,
"Como no me he preocupado de nacer, no me preocupo de morir.",Federico García Lorca (1898-1936) Poeta y dramaturgo español.,CUALIDADES,BELLEZA,NULL,NULL,,,
Todo amante es un soldado en guerra.,Ovidio (43 AC-17) Poeta latino.,DEFECTOS,CORRUPCIÓN,NULL,NULL,,,
"La gente buena, si se piensa un poco en ello, ha sido siempre gente alegre.",Ernest Hemingway (1899-1961) Escritor estadounidense.,SENTIMIENTOS,ODIO,NULL,NULL,,,
La dependencia de las personas de la televisión es el hecho más destructivo de la civilización actual.,Robert Spaemann (1927-?) Filósofo alemán.,SENTIMIENTOS,ODIO,NULL,NULL,,,
"Un país, una civilización se puede juzgar por la forma en que trata a sus animales.",Mahatma Gandhi (1869-1948) Político y pensador indio.,NATURALEZA,VIDA,NULL,NULL,,,
"La multitud obedece más a la necesidad que a la razón, y a los castigos más que al honor.",Aristóteles (384 AC-322 AC) Filósofo griego.,SOCIEDAD,PROGRESO,NULL,NULL,,,
A menudo encontramos nuestro destino por los caminos que tomamos para evitarlo.,Jean de La Fontaine (1621-1695) Escritor y poeta francés.,SENTIMIENTOS,AMISTAD,NULL,NULL,,,
La soberbia no es grandeza sino hinchazón; y lo que está hinchado parece grande pero no está sano.,San Agustín (354-430) Obispo y filósofo.,SENTIMIENTOS,AMISTAD,NULL,NULL,,,
"Si tenéis el hábito de tomar las cosas con alegría, rara vez os encontraréis en circunstancias difíciles.",Robert Baden-Powell (1857-1941) Militar y escritor británico.,CUALIDADES,PRUDENCIA,NULL,NULL,,,
No está mal ser bella; lo que está mal es la obligación de serlo.,Susan Sontag (1933-2004) Novelista y ensayista estadounidense.,NATURALEZA,VIDA,NULL,NULL,,,
"Muchos jueces son incorruptibles, nadie puede inducirlos a hacer justicia.",Bertolt Brecht (1898-1956) Dramaturgo y poeta alemán.,DEFECTOS,COBARDÍA,NULL,NULL,,,
El odio no es más que carencia de imaginación.,Graham Greene (1904-1991) Novelista británico.,SENTIMIENTOS,AMOR,NULL,NULL,,,
Basta con que un hombre odie a otro para que el odio vaya corriendo hasta la humanidad entera.,Jean Paul Sartre (1905-1980) Filósofo y escritor francés.,NATURALEZA,SER HUMANO,PERDONAR,NULL,,,
"Todo el mundo trata de realizar algo grande, sin darse cuenta de que la vida se compone de cosas pequeñas.",Frank A. Clark (1911-1991) Dibujante y escritor estadounidense.,MISCELÁNEA,EJEMPLOS,NULL,NULL,,,
No puede conseguirse ningún progreso verdadero con el ideal de facilitar las cosas.,Hermann Keyserling (1880-1946) Filósofo y científico alemán.,SENTIMIENTOS,CELOS,NULL,NULL,,,
"Si es un verdadero amigo, no habrá que perdonarle jamás nada.",José Luis Coll (1931-2007) Humorista español.,SENTIMIENTOS,FELICIDAD,NULL,NULL,,,
No necesito amigos que cambien cuando yo cambio y asientan cuando yo asiento. Mi sombra lo hace mucho mejor.,Plutarco (50-125) Escritor griego.,NATURALEZA,VIDA,NULL,NULL,,,
No hables mal del puente hasta haber cruzado el río.,Proverbio,DEFECTOS,VICIOS,NULL,NULL,,,
"Si el hombre no ha descubierto nada por lo que morir, no es digno de vivir.",Martin Luther King (1929-1968) Religioso estadounidense.,PENSAMIENTO Y RAZÓN,PENSAMIENTO,NULL,NULL,,,
Los cobardes mueren muchas veces antes de su verdadera muerte; los valientes prueban la muerte sólo una vez.,William Shakespeare (1564-1616) Escritor británico.,TIEMPO,FUTURO,NULL,NULL,,,
"Tan imposible es avivar la lumbre con nieve, como apagar el fuego del amor con palabras.",William Shakespeare (1564-1616) Escritor británico.,NATURALEZA,SER HUMANO,HABLAR,NULL,,,
A perdonar sólo se aprende en la vida cuando a nuestra vez hemos necesitado que nos perdonen mucho.,Jacinto Benavente (1866-1954) Dramaturgo español.,SOCIEDAD,HISTORIA,NULL,NULL,,,
Dar ejemplo no es la principal manera de influir sobre los demás; es la única manera.,Albert Einstein (1879-1955) Científico alemán nacionalizado estadounidense.,MISCELÁNEA,FANATISMOS,NULL,NULL,,,
"Ser celoso es el colmo del egoísmo, es el amor propio en defecto, es la irritación de una falsa vanidad.",Honoré de Balzac (1799-1850) Escritor francés.,SENTIMIENTOS,DESESPERACIÓN,NULL,NULL,,,
"La felicidad para mi consiste en gozar de buena salud, en dormir sin miedo y despertarme sin angustia.",Françoise Sagan (1935-2004) Escritora francesa.,NATURALEZA,VIDA,NULL,NULL,,,
La vida es un arco iris que incluye el negro.,Yevgeny Yevtushenko (1933-?) Poeta ruso.,PENSAMIENTO Y RAZÓN,LOCURA,LOCO,NULL,,,
"Todos los vicios, con tal de que estén de moda, pasan por virtudes.",Molière (1622-1673) Comediografo francés.,TIEMPO,INFANCIA,NULL,NULL,,,
"Tanto si piensas que puedes, como si piensas que no puedes, estás en lo cierto.",Henry Ford (1863-1947) Industrial estadounidense.,MISCELÁNEA,AUSENCIA,NULL,NULL,,,
"Si no piensas en tu porvenir, no lo tendrás.",John Kenneth Galbraith (1908-2006) Econonista estadounidense.,SENTIMIENTOS,AMISTAD,NULL,NULL,,,
"Si los hombres han nacido con dos ojos, dos orejas y una sola lengua es porque se debe escuchar y mirar dos veces antes de hablar.",Madame de Sévigné (1626-1696) Escritora francesa.,SENTIMIENTOS,AMOR,AMOR PROPIO,NULL,,,
Quizá la más grande lección de la historia es que nadie aprendió las lecciones de la historia.,"Aldous Huxley (1894-1963) Novelista, ensayista y poeta inglés.",SOCIEDAD,GOBIERNO,NULL,NULL,,,
No se puede razonar con los fanáticos. Hay que ser más fuerte que ellos.,Alain (1868-1951) Filósofo y ensayista francés.,SOCIEDAD,PAZ,NULL,NULL,,,
"No desesperes, ni siquiera por el hecho de que no desesperas. Cuando todo parece terminado, surgen nuevas fuerzas. Esto significa que vives.",Franz Kafka (1883-1924) Escritor checoslovaco.,SOCIEDAD,RELIGIÓN,DIOS,NULL,,,
Me he dedicado a investigar la vida y no sé por qué ni para qué existe.,Severo Ochoa (1905-1993) Médico español.,SENTIMIENTOS,AMOR,BESOS,NULL,,,
Los locos abren los caminos que más tarde recorren los sabios.,Carlo Dossi (1849-1910) Escritor italiano.,SOCIEDAD,RELIGIÓN,DIOS,NULL,,,
La niñez es la etapa en que todos los hombres son creadores.,Juana de Ibarbourou (1895-1979) Poetisa uruguaya.,DEFECTOS,PESIMISMO,NULL,NULL,,,
"La ausencia disminuye las pequeñas pasiones y aumenta las grandes, lo mismo que el viento apaga las velas y aviva las hogueras.",François de La Rochefoucauld (1613-1680) Escritor francés.,MISCELÁNEA,DEMAGOGIA,NULL,NULL,,,
La amistad perfecta es la de los buenos y de aquellos que se asemejan por la virtud. Ellos se desean mutuamente el bien en el mismo sentido.,Aristóteles (384 AC-322 AC) Filósofo griego.,SOCIEDAD,RELIGIÓN,CRISTIANISMO,NULL,,,
Hay amor propio en el amor como hay interés personal en la amistad.,George Sand (1804-1876) Escritora francesa.,SENTIMIENTOS,ESPERANZA,NULL,NULL,,,
Gobernar es el arte de crear problemas con cuya solución mantiene a la población en vilo.,Ezra Pound (1885-1972) Crítico y poeta estadounidense.,PENSAMIENTO Y RAZÓN,DECISIONES,NULL,NULL,,,
El mantenimiento de la paz comienza con la autosatisfacción de cada individuo.,Dalai Lama,MISCELÁNEA,IMPOSIBLES,NULL,NULL,,,
"Cuando todos te abandonan, Dios se queda contigo.",Mahatma Gandhi (1869-1948) Político y pensador indio.,PENSAMIENTO Y RAZÓN,IDEAS,NULL,NULL,,,
¿Beso? Un truco encantado para dejar de hablar cuando las palabras se tornan superfluas.,Ingrid Bergman (1915-1982) Actriz sueca.,SOCIEDAD,CASTIGOS,NULL,NULL,,,
"Lo terrible en cuanto a Dios, es que no se sabe nunca si es un truco del diablo.",Jean Anouilh (1910-1987) Escritor y dramaturgo francés.,MISCELÁNEA,DELITO,NULL,NULL,,,
"La tristeza es un don del cielo, el pesimismo es una enfermedad del espíritu.","Amado Nervo (1870-1919) Poeta, novelista y ensayista mexicano.",SOCIEDAD,COSTUMBRES,NULL,NULL,,,
La demagogia es la capacidad de vestir las ideas menores con la palabras mayores.,Abraham Lincoln (1808-1865) Político estadounidense.,SOCIEDAD,PAZ,NULL,NULL,,,
"Quien no ha tenido tribulaciones que soportar, es que no ha comenzado a ser cristiano de verdad.",San Agustín (354-430) Obispo y filósofo.,CUALIDADES,HONRADEZ,NULL,NULL,,,
"En cada amanecer hay un vivo poema de esperanza, y, al acostarnos, pensemos que amanecerá.",Noel Clarasó (1899-1985) Escritor español.,CUALIDADES,INTELIGENCIA,NULL,NULL,,,
"Cuando la situación es adversa y la esperanza poca, las determinaciones drásticas son las más seguras.",Tito Livio (59 AC-64 AC) Historiador romano.,DEFECTOS,VIOLENCIA,NULL,NULL,,,
Para que pueda surgir lo posible es preciso intentar una y otra vez lo imposible.,"Hermann Hesse (1877-1962) Escritor suizo, de origen alemán.",CUALIDADES,PACIENCIA,NULL,NULL,,,
"Todas las ideas, incluso las sagradas, deben adaptarse a nuevas realidades.",Salman Rushdie (1947-?) Escritor anglo-hindú.,MISCELÁNEA,OJOS,NULL,NULL,,,
La finalidad del castigo es asegurarse de que el culpable no reincidirá en el delito.,"Cesare Beccaria (1738-1794) Literato, filósofo, jurista y economista italiano.",SENTIMIENTOS,IRA,NULL,NULL,,,
Los delitos deben ser calificados según el daño infligido a la sociedad.,"Cesare Beccaria (1738-1794) Literato, filósofo, jurista y economista italiano.",ARTE,LITERATURA,NULL,NULL,,,
Los malos hábitos es más fácil romperlos que enmendarlos.,Quintiliano (35-96) Escritor hispanolatino.,SOCIEDAD,DINERO,NULL,NULL,,,
"Si no estamos en paz con nosotros mismos, no podemos guiar a otros en la búsqueda de la paz.",Confucio (551 AC-478 AC) Filósofo chino.,SOCIEDAD,RELIGIÓN,DIOS,NULL,,,
"Aquel hombre que pierde la honra por el negocio, pierde el negocio y la honra.",Francisco de Quevedo (1580-1645) Escritor español.,SENTIMIENTOS,AMOR,CORAZÓN,NULL,,,
La mayor parte de los hombres tiene una capacidad intelectual muy superior al ejercicio que hacen de ella.,José Ortega y Gasset (1883-1955) Filósofo y ensayista español.,SOCIEDAD,NULL,NULL,NULL,,,
La violencia es el último recurso del incompetente.,Isaac Asimov (1920-1992) Escritor y bioquímico estadounidense.,DEFECTOS,IGNORANCIA,NULL,NULL,,,
"La paciencia es amarga, pero sus frutos son dulces.",Jean Jacques Rousseau (1712-1778) Filósofo francés.,MISCELÁNEA,ABANDONAR,NULL,NULL,,,
Los ojos no sirven de nada a un cerebro ciego.,Proverbio árabe,SOCIEDAD,EDUCACIÓN,ESTUDIOS,NULL,,,
La cólera no nos permite saber lo que hacemos y menos aún lo que decimos.,Arthur Schopenhauer (1788-1860) Filósofo alemán.,SENTIMIENTOS,AMOR,PASIÓN,NULL,,,
Ningún escritor joven desea tanto la crítica constructiva como la alabanza.,William Hill (1838-1914) Astrónomo estadounidense.,MISCELÁNEA,FAVOR,NULL,NULL,,,
"El dinero no da la felicidad, pero procura una sensación tan parecida, que necesita un especialista muy avanzado para verificar la diferencia.","Woody Allen (1935-?) Actor, director y escritor estadounidense.",SOCIEDAD,HISTORIA,NULL,NULL,,,
"Los ojos no pueden ver bien a Dios, sino a través de lágrimas.",Victor Hugo (1802-1885) Novelista francés.,PENSAMIENTO Y RAZÓN,PENSAMIENTO,PENSAR,NULL,,,
Un instante de gozo del corazón vale más que dos horas de placer de los sentidos.,August von Kotzebue (1761-1819) Dramaturgo alemán.,SOCIEDAD,MUJERES,NULL,NULL,,,
La sociedad sería una cosa hermosa si se interesaran los unos por los otros.,Chamfort (1741-1794) Académico francés.,PENSAMIENTO Y RAZÓN,MENTIRAS,NULL,NULL,,,
"El ignorante, si calla, será tenido por erudito, y pasará por sabio si no abre los labios.",Salomón (970 AC-931 AC) Rey de Israel,SENTIMIENTOS,ENVIDIA,NULL,NULL,,,
"Abandonar puede tener justificación; abandonarse, no la tiene jamás.",Emerson (1803-1882) Poeta y pensador estadounidense.,SENTIMIENTOS,AMOR,AMAR,NULL,,,
"¡Estudia! No para saber una cosa más, sino para saberla mejor.",Séneca (2 AC-65) Filósofo latino.,NATURALEZA,SER HUMANO,HABLAR,NULL,,,
No hay incendio como la pasión: no hay ningún mal como el odio.,Buda (563 AC-486 AC) Fundador del budismo.,SOCIEDAD,DINERO,NULL,NULL,,,
Nada se olvida más despacio que una ofensa; y nada más rápido que un favor.,Martin Luther King (1929-1968) Religioso estadounidense.,DEFECTOS,OCIOSIDAD,NULL,NULL,,,
"Me maravillo a menudo de que la historia resulte tan pesada, porque gran parte de ella debe ser pura invención.",Jane Austen (1775-1817) Escritora británica.,CUALIDADES,SABIDURÍA,SABIO,NULL,,,
"Lo que un hombre piensa de sí mismo, esto es lo que determina, o más bien indica, su destino.","Henry David Thoreau (1817-1862) Escritor, poeta y pensador.",CUALIDADES,ELOCUENCIA,NULL,NULL,,,
"Las mujeres lo negaran o lo aceptaran, pero lo que siempre quieren es que se lo pidamos.",Ovidio (43 AC-17) Poeta latino.,SENTIMIENTOS,ODIO,NULL,NULL,,,
Las mentiras más crueles son dichas en silencio.,Robert Louis Stevenson (1850-1894) Escritor británico.,SENTIMIENTOS,ESPERANZA,NULL,NULL,,,
"La envidia es mil veces más terrible que el hambre, porque es hambre espiritual.",Miguel de Unamuno (1864-1936) Filósofo y escritor español.,SOCIEDAD,CIVILIZACIÓN,NULL,NULL,,,
"Hay quien tiene el deseo de amar, pero no la capacidad de amar.",Giovanni Papini (1881-1956) Escritor italiano.,MISCELÁNEA,SIN CLASIFICAR,NULL,NULL,,,
"Hase de hablar como en testamento, que a menos palabras, menos pleitos.",Baltasar Gracián (1601-1658) Escritor español.,MISCELÁNEA,SONRISA,NULL,NULL,,,
"Es bonito tener dinero y cosas que puede comprar el dinero, pero también es bonito tener las cosas que el dinero no puede comprar.",George Horace Lorimer (1867-1937) Editor estadounidense.,TIEMPO,PRESENTE,NULL,NULL,,,
El sabio uso del ocio es un producto de la civilización y de la educación.,"Bertrand Russell (1872-1970) Filósofo, matemático y escritor británico..",SENTIMIENTOS,AMOR,AMAR,NULL,,,
"El sabio no enseña con palabras, sino con actos.",Lao-tsé (570 aC-490 aC) Filósofo chino.,PENSAMIENTO Y RAZÓN,ILUSIONES,NULL,NULL,,,
"El que seduce a un juez con el prestigio de su elocuencia, es más culpable que el que le corrompe con dinero.","Cicerón (106 AC-43 AC) Escritor, orador y político romano.",PENSAMIENTO Y RAZÓN,ENTENDIMIENTO,NULL,NULL,,,
El odio es la venganza de un cobarde intimidado.,George Bernard Shaw (1856-1950) Escritor irlandés.,MISCELÁNEA,TRAICIÓN,NULL,NULL,,,
"Cada criatura, al nacer, nos trae el mensaje de que Dios todavía no pierde la esperanza en los hombres.",Rabindranath Tagore (1861-1941) Filósofo y escritor indio.,SOCIEDAD,MATRIMONIO,NULL,NULL,,,
"¿La civilización Occidental? Bueno, sería una excelente idea.",Mahatma Gandhi (1869-1948) Político y pensador indio.,SENTIMIENTOS,AMISTAD,AMIGOS,NULL,,,
"¡He perdido mi gotita de rocío!, dice la flor al cielo del amanecer, que ha perdido todas sus estrellas.",Rabindranath Tagore (1861-1941) Filósofo y escritor indio.,CUALIDADES,CALIDAD,NULL,NULL,,,
Una gran sonrisa es un bello rostro de gigante.,"Charles Baudelaire (1821-1867) Escritor, poeta y crítico francés.",SENTIMIENTOS,AMISTAD,NULL,NULL,,,
"Algunos están dispuestos a cualquier cosa, menos a vivir aquí y ahora.",John Lennon (1940-1980) Cantante y compositor británico.,SENTIMIENTOS,AMISTAD,NULL,NULL,,,
"Los que más han amado al hombre le han hecho siempre el máximo daño. Han exigido de él lo imposible, como todos los amantes.",Friedrich Nietzsche (1844-1900) Filosofo alemán.,SOCIEDAD,LEYES,JUSTICIA,NULL,,,
"Nuestras ilusiones no tienen límites; probamos mil veces la amargura del cáliz y, sin embargo, volvemos a arrimar nuestros labios a su borde.",René de Chateaubriand (1768-1848) Diplomático y escritor francés.,PENSAMIENTO Y RAZÓN,PENSAMIENTO,PENSAR,NULL,,,
No entiendes realmente algo a menos que seas capaz de explicarselo a tu abuela.,Albert Einstein (1879-1955) Científico alemán nacionalizado estadounidense.,MISCELÁNEA,ERRORES,NULL,NULL,,,
Con ciertas personas vale más ser traicionado que desconfiar.,Arthur Schopenhauer (1788-1860) Filósofo alemán.,DEFECTOS,IGNORANCIA,NULL,NULL,,,
El matrimonio es tratar de solucionar entre los dos problemas que nunca hubieran surgido al estar solo.,Eddy Cantor,CUALIDADES,SABIDURÍA,SABER,NULL,,,
Un amigo es la mano que despeina tristezas.,Gustavo Gutierrez Merino (1928-?) Filósofo y teólogo peruano.,DEFECTOS,DESPRECIO,NULL,NULL,,,
